Orbital_Period_days,Orbital_Period_days_weight,Transit_Epoch_BKJD,Transit_Epoch_BKJD_weight,Transit_Epoch_BJD,Transit_Epoch_BJD_weight,Impact_Parameter,Impact_Parameter_weight,Transit_Duration_hrs,Transit_Duration_hrs_weight,Transit_Depth_ppm,Transit_Depth_ppm_weight,Planet-Star_Radius_Ratio,Planet-Star_Radius_Ratio_weight,Fitted_Stellar_Density_g/cm**3,Fitted_Stellar_Density_g/cm**3_weight,Planetary_Radius_Earth_radii,Planetary_Radius_Earth_radii_weight,Orbit_Semi-Major_Axis_au,Inclination_deg,Equilibrium_Temperature_K,Insolation_Flux_Earth_flux,Insolation_Flux_Earth_flux_weight,Planet-Star_Distance_over_Star_Radius,Planet-Star_Distance_over_Star_Radius_weight,Stellar_Effective_Temperature_K,Stellar_Surface_Gravity_log10(cm/s**2),Stellar_Metallicity_dex,Stellar_Radius_Solar_radii,Stellar_Mass_Solar_mass,Comment_Encoded,Planetary_Fit_Type_Encoded,Parameters_Provenance_Encoded,TCE_Delivery_Encoded,Quarters_Encoded,Stellar_Parameter_Provenance_Encoded,Exoplanet_Archive_Disposition_Encoded,Log_Orbital_Period,Log_Transit_Depth
54.4183827,98903.24516977783,162.51384,22563.488885630035,2454995.514,997140.5773962376,0.586,1.167331306658739,4.507,19.426351057829116,874.8,12.320974966353338,0.027954,2.6815275815728015,3.02368,0.6431621785778612,2.83,5.548990777157944,0.2734,89.57,443.0,9.11,2.0289493354720545,77.9,1.3714770098933022,5455.0,4.467,0.14,0.927,0.919,756,1,2,2,211,1,1,4.014911356403454,6.775137754367298
19.89913995,399748.5808360459,175.850252,131442.40366638402,2455008.85,999526.9058746466,0.969,0.18623886594932781,1.7822,26.13129660963418,10829.0,31.662740132125954,0.154046,0.030345292098664368,7.29555,0.19306800699127458,14.6,2.791579396355262,0.1419,88.96,638.0,39.3,0.9463030053043809,53.5,1.040854967203467,5853.0,4.544,-0.18,0.868,0.961,62,1,2,2,200,1,0,3.039708007406348,9.290075339995036
1.736952453,767560.3979822558,170.307565,425441.7864287881,2455003.308,999906.3225481462,1.276,6.16421804082906,2.40641,224.01042261218916,8079.2,315.49418204703477,0.387394,1.9950058560768058,0.2208,8.017401225482644,33.46,2.9532129025148572,0.0267,67.09,1395.0,891.96,0.9918371136672602,3.278,12.05132902842424,5805.0,4.564,-0.52,0.791,0.836,459,1,2,2,203,1,2,1.0068450579675676,8.997171903684052
2.525591777,251362.97151506264,171.59555,70569.1170266498,2455004.596,999080.2781256533,0.701,0.9831701413699128,1.6545,19.696052534064123,603.3,17.848793870492308,0.024064,4.563794836388633,1.98635,0.44568775824638995,2.75,2.2357681720612126,0.0374,85.41,1406.0,926.16,0.7792214840659192,8.75,1.0937489287119724,6031.0,4.438,0.07,1.046,1.095,756,1,2,2,136,1,1,1.2600483021739617,6.404070763367513
11.09432054,214116.89297977826,171.20116,57234.92061722958,2455004.201,998852.6437330825,0.538,1.1746732926301178,4.5945,37.65842605183481,1517.5,31.352322806820442,0.036779,5.951420891058192,0.67324,0.9331896924739941,3.9,2.307687573974056,0.0992,88.11,835.0,114.81,0.7677025266470888,16.36,1.0098755850885444,6046.0,4.486,-0.08,0.972,1.053,756,1,2,2,133,1,1,2.492735965551391,7.325478284485803
4.13443512,165018.126937594,172.97937,43538.955239141105,2455005.979,998454.5344234344,0.762,1.1356186805624884,3.1402,23.32932942954232,686.0,18.341909584224783,0.026133,6.496104954211565,0.37377,0.36961271876339624,2.77,2.3083288382723417,0.0514,83.72,1160.0,427.65,0.7677318504918468,6.96,1.2428557767361699,6046.0,4.486,-0.08,0.972,1.053,756,1,2,2,133,1,1,1.635969831487176,6.532334292222349
2.56658897,67211.81367638102,179.55437,19102.434425398995,2455012.554,996258.4700112698,0.755,1.027211189734047,2.429,7.360554912741685,226.5,6.741026016595253,0.014983,2.7996932080338137,0.48909,0.34757794533788755,1.59,2.304343965348972,0.0374,82.17,1360.0,807.74,0.7677328234419296,5.54,1.0259250585878055,6046.0,4.486,-0.08,0.972,1.053,756,1,2,2,133,1,1,1.2716096684503242,5.427150238391005
7.36178958,147466.4769526382,132.25053,25470.753040595144,2454965.251,997943.110544113,1.169,0.16288153958357493,5.022,18.46289808568879,233.7,20.14614593497197,0.183387,0.02557282132704459,0.00485,0.017376508635263667,39.21,2.43237627956102,0.082,60.92,1342.0,767.22,1.073379097446854,2.4,0.9999994166668335,6227.0,3.986,0.0,1.958,1.358,641,1,2,2,211,1,2,2.123672468781356,5.458308102856978
16.06864674,424774.5742972731,173.621937,143771.7654314425,2455006.622,999578.9971913586,0.052,0.16560825282867914,3.5347,73.32866815525608,4914.3,73.78284399353889,0.062161,46.35281030321099,3.6659,5.843622300637885,5.76,8.11261164978702,0.1158,89.92,600.0,30.75,2.7652802129164287,36.85,15.353931336506205,5031.0,4.485,0.16,0.848,0.801,756,1,2,2,203,1,1,2.8372432565694368,8.500108068358424
3.709214104,221033.76191845996,133.98318,44750.81284700109,2454966.983,998836.3704932119,0.051,0.11435200486083723,2.6302,30.797658032424415,131.1,21.849522754590836,0.010424,22.418852222506622,1.77451,2.7737058866268502,1.16,3.9999874483122753,0.0465,89.73,1206.0,500.46,1.523468001720555,10.888,13.678206120198599,5833.0,4.407,-0.04,1.022,0.974,756,1,2,2,211,1,1,1.5495210372059527,4.883559211528279
11.521446064,744209.957659033,170.839688,394695.0645738958,2455003.84,999893.2905774473,2.483,0.7045968361195664,3.6399,159.61929831387928,17984.0,281.8014433204239,1.625358,0.46300329399197737,1.27376,0.4694904303911804,150.51,2.8360575493682947,0.0978,83.13,753.0,75.88,0.9619666329357369,20.75,1.1037222392426826,5795.0,4.554,-0.2,0.848,0.938,601,1,2,2,200,1,2,2.527442859321793,9.797293356129725
19.40393776,319333.1300763757,172.484253,92909.0853468666,2455005.484,999314.5246841464,0.804,66.99559462291064,12.2155,102.12586522902316,8918.7,83.65810393497517,0.096729,90.81804241385663,0.03785,13.566482614719193,7.18,4.986086944368578,0.123,84.93,523.0,17.69,1.5329266795949312,9.099,17.70202320870257,5043.0,4.591,-0.54,0.68,0.657,560,1,2,2,211,1,2,3.0157279096737497,9.096017592721482
16.46983774,376971.8363579385,180.881761,126767.16937391202,2455013.882,999492.7246871839,0.292,1.3333361217557949,9.4378,78.64215659146565,10479.0,131.29854791373785,0.092509,54.19155637909746,0.19353,4.942033798857428,7.94,4.46065482157093,0.1147,88.81,595.0,29.61,1.415390013876686,14.05,4.683311733155155,5152.0,4.517,-0.2,0.786,0.741,560,1,2,2,133,1,2,2.86047583618068,9.257223957875032
9.27358173,308979.53148161195,173.258155,89898.77949697984,2455006.258,999286.0516225433,0.387,0.9923092717315884,3.2875,53.19297941791214,1288.3,38.34079186183946,0.032563,8.82246348016777,1.93557,2.888170777176538,2.47,5.613607123601798,0.0759,88.93,649.0,41.85,1.7300507894738624,20.65,1.8437466898775903,4856.0,4.583,-0.3,0.696,0.676,28,1,2,2,211,1,1,2.329575719711571,7.1618547144167914
6.02930329,353680.80415721843,171.602959,107412.77044203774,2455004.603,999419.4828877895,0.258,0.5682838180224816,1.5821,25.435060436743537,1912.7,27.800099240554577,0.038838,17.46327416542027,13.09803,2.3777884018193407,2.85,6.951173632068774,0.0585,89.5,678.0,50.04,1.9041060014662774,29.31,3.574377589632839,4537.0,4.648,0.21,0.672,0.761,28,1,2,2,211,1,1,1.9500875956481645,7.556793819916019
2.696370652,151785.3659460243,170.73769,35198.29392481573,2455003.738,998097.316363199,0.044,0.1089133544745136,3.6129,26.33240425386544,397.9,20.941666753198838,0.017673,20.503059894338087,0.51471,3.2127167241705403,1.58,5.448249626759108,0.0349,89.56,1066.0,305.34,1.6687953842160772,5.827,17.984247548677622,4989.0,4.504,0.1,0.819,0.781,650,1,2,2,211,1,2,1.307351433383305,5.988710758911361
5.349553819,232411.9508378089,171.80694,63355.152021494876,2455004.807,998966.4481425673,0.092,0.19956828989049405,3.0278,32.14122805475111,831.0,28.073536212546593,0.025706,19.804692512149146,1.73782,2.3326401963609147,2.55,6.374961859602207,0.0563,89.62,919.0,168.99,2.310495085444808,13.8015,139.10868035694503,5185.0,4.44,0.16,0.91,0.831,756,1,2,2,211,1,1,1.8483845457115093,6.723832440821209
3.94105221,152629.45232898963,136.08662,28374.51275465611,2454969.087,998105.4053944037,0.226,0.48187823261202034,2.5984,17.627918559014844,363.3,13.068174580293594,0.017105,13.576006165744866,1.85636,2.0418152926886295,1.7,6.296260356855914,0.046,88.88,1018.0,253.15,2.310600730845406,11.51,2.3979111250084486,5185.0,4.44,0.16,0.91,0.831,756,1,2,2,211,1,1,1.5975783064946916,5.897977704014518
